# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
483	2471	2471	conduct	B2	62372	noun
484	2472	2472	confidence	B2	62366	noun
485	2473	2473	conflict	B2	62404	noun
486	2474	2474	confusing	B2	62370	adj
487	2475	2475	conscious	B2	62386	adj
488	2476	2476	conservative	B2	62419	noun
489	2477	2477	consideration	B2	62398	noun
490	2478	2478	consistent	B2	62393	adj
491	2479	2479	constant	B2	62409	adj
492	2480	2480	constantly	B2	62434	adv
493	2481	2481	construct	B2	62438	noun
494	2482	2482	construction	B2	62450	noun
495	2483	2483	contemporary	B2	62444	adj
496	2484	2484	contest	B2	62462	noun
497	2485	2485	contract	B2	62484	noun
498	2486	2486	contribute	B2	62449	verb
499	2487	2487	contribution	B2	62469	noun
500	2488	2488	convert	B2	62502	verb
501	2489	2489	convinced	B2	62460	adj
502	2490	2490	core	B2	62525	noun
503	2491	2491	corporate	B2	62473	adj
504	2492	2492	council	B2	62566	noun
505	2493	2493	county	B2	62561	noun
506	2494	2494	courage	B2	62611	noun
507	2495	2495	crash	B2	62576	noun
508	2496	2496	creation	B2	62600	noun
509	2497	2497	creature	B2	62571	noun
510	2498	2498	crew	B2	62615	noun
511	2499	2499	crisis	B2	62639	noun
512	2500	2500	criterion	B2	62610	noun
513	2501	2501	critic	B2	62603	noun
514	2502	2502	critical	B2	62645	adj
515	2503	2503	criticism	B2	62661	noun
516	2504	2504	criticize	B2	62659	verb
517	2505	2505	crop	B2	62663	noun
518	2506	2506	crucial	B2	62687	adj
519	2507	2507	cure	B2	62733	noun
520	2508	2508	curve	B2	62718	adj
521	2509	2509	curved	B2	62690	adj
522	2510	2510	debate	B2	62709	verb
523	2511	2511	debt	B2	62754	noun
524	2512	2512	decent	B2	62692	adj
525	2513	2513	declare	B2	62700	verb
526	2514	2514	decline	B2	62774	noun
527	2515	2515	decoration	B2	62769	noun
528	2516	2516	decrease	B2	62765	verb
529	2517	2517	deeply	B2	62758	adv
530	2518	2518	defeat	B2	62809	verb
531	2519	2519	defence	B2	62789	noun
532	2520	2520	defend	B2	62797	verb
533	2521	2521	delay	B2	62826	noun
534	2522	2522	deliberate	B2	62836	adj
535	2523	2523	deliberately	B2	62817	adv
536	2524	2524	delight	B2	62822	noun
537	2525	2525	delighted	B2	62819	adj
538	2526	2526	delivery	B2	62842	noun
539	2527	2527	demand	B2	62869	noun
540	2528	2528	demonstrate	B2	62853	verb
541	2529	2529	deny	B2	62857	verb
542	2530	2530	depressed	B2	62864	verb
543	2531	2531	depressing	B2	62881	adj
544	2533	2533	deserve	B2	62884	verb
545	2534	2534	desire	B2	62917	verb
546	2535	2535	desperate	B2	62903	adj
547	2536	2536	detailed	B2	62911	adj
548	2537	2537	detect	B2	62913	verb
549	2538	2538	dig	B2	62948	verb
550	2539	2539	disc	B2	62927	noun
551	2540	2540	discipline	B2	62970	noun
552	2541	2541	dishonest	B2	62936	adj
553	2542	2542	dismiss	B2	62940	verb
554	2543	2543	display	B2	62995	noun
555	2544	2544	distribute	B2	62984	verb
556	2545	2545	distribution	B2	63009	noun
557	2546	2546	district	B2	63033	noun
558	2547	2547	division	B2	63039	noun
559	2548	2548	domestic	B2	63055	adj
560	2549	2549	dominate	B2	63026	verb
561	2550	2550	downwards	B2	63006	adv
562	2551	2551	dozen	B2	63062	noun
563	2552	2552	draft	B2	63134	noun
564	2553	2553	drag	B2	63082	noun
565	2554	2554	dramatic	B2	63067	adj
566	2555	2555	edit	B2	63176	noun
567	2556	2556	edition	B2	63071	noun
568	2557	2557	efficient	B2	63075	adj
569	2558	2558	elderly	B2	63191	adj
570	2559	2559	elect	B2	63195	noun
571	2560	2560	elsewhere	B2	63080	adv
572	2561	2561	emerge	B2	63201	verb
573	2562	2562	emotional	B2	63211	adj
574	2563	2563	emphasis	B2	63205	noun
575	2564	2564	emphasize	B2	63210	verb
576	2565	2565	enable	B2	63220	verb
577	2566	2566	encounter	B2	63254	verb
578	2567	2567	engage	B2	63227	verb
579	2568	2568	enhance	B2	63244	verb
580	2569	2569	enquiry	B2	63219	noun
581	2570	2570	ensure	B2	63249	verb
582	2571	2571	enthusiasm	B2	63251	noun
583	2572	2572	enthusiastic	B2	63265	adj
584	2573	2573	entire	B2	63267	adj
585	2574	2574	entirely	B2	63278	adv
586	2575	2575	establish	B2	63286	verb
587	2576	2576	estate	B2	63290	noun
588	2577	2577	estimate	B2	63280	noun
589	2578	2578	ethical	B2	63306	adj
590	2579	2579	evaluate	B2	63311	verb
591	2580	2580	evil	B2	63323	adj
592	2581	2581	examination	B2	63343	noun
593	2582	2582	excuse	B2	63347	verb
594	2583	2583	executive	B2	63314	adj
595	2584	2584	existence	B2	63321	noun
596	2585	2585	expectation	B2	63335	noun
597	2586	2586	expense	B2	63354	noun
598	2587	2587	exploration	B2	63358	noun
599	2588	2588	expose	B2	63362	verb
600	2589	2589	extend	B2	63367	verb
601	2590	2590	extent	B2	63378	noun
602	2591	2591	external	B2	63384	adj
603	2592	2592	extraordinary	B2	63400	adj
604	2593	2593	facility	B2	63404	noun
605	2594	2594	failure	B2	63412	noun
606	2595	2595	faith	B2	63439	noun
607	2596	2596	fault	B2	63418	noun
608	2597	2597	feather	B2	63469	noun
609	2598	2598	fee	B2	63445	noun
610	2599	2599	feedback	B2	63463	noun
611	2600	2600	fellow	B2	63520	noun
612	2601	2601	finance	B2	63495	noun
613	2602	2602	finding	B2	63456	noun
614	2603	2603	firm	B2	63503	noun
615	2606	2606	flexible	B2	63559	adj
616	2607	2607	float	B2	63646	verb
617	2608	2608	folding	B2	63628	adj
618	2609	2609	forgive	B2	63635	verb
619	2610	2610	former	B2	63641	adj
620	2611	2611	fortune	B2	63709	noun
621	2612	2612	found	B2	63700	verb
622	2613	2613	freedom	B2	63728	noun
623	2614	2614	frequency	B2	63740	noun
624	2615	2615	fully	B2	63719	adv
625	2616	2616	fund	B2	63733	noun
626	2617	2617	fundamental	B2	63746	noun
627	2618	2618	funding	B2	63725	verb
628	2619	2619	furthermore	B2	63752	adv
629	2620	2620	gain	B2	63760	verb
630	2621	2621	gang	B2	63783	verb
631	2622	2622	generate	B2	63754	verb
632	2623	2623	genre	B2	63781	noun
633	2624	2624	govern	B2	63805	verb
634	2625	2625	grab	B2	63840	verb
635	2626	2626	gradually	B2	63817	adv
636	2627	2627	grand	B2	63819	adj
637	2628	2628	grant	B2	63830	verb
638	2629	2629	guarantee	B2	63856	noun
639	2630	2630	handle	B2	63870	noun
640	2631	2631	harm	B2	63864	noun
641	2632	2632	harmful	B2	63869	adj
642	2633	2633	hearing	B2	63897	adj
643	2634	2634	heaven	B2	63911	noun
644	2635	2635	heel	B2	63930	noun
645	2636	2636	hell	B2	63993	name
646	2637	2637	hesitate	B2	63908	verb
647	2638	2638	hollow	B2	63965	noun
648	2639	2639	holy	B2	63979	adj
649	2640	2640	honour	B2	63906	noun
650	2641	2641	household	B2	63986	noun
651	2642	2642	housing	B2	64008	noun
652	2643	2643	humorous	B2	64018	adj
653	2644	2644	humour	B2	64027	noun
654	2645	2645	hunting	B2	64022	noun
655	2646	2646	illustrate	B2	64033	verb
